symbol,name,exchange,sector,list_date,mktcap
001314.SZ,亿道信息,SZSE,元器件,20230214,
001316.SZ,润贝航科,SZSE,批发业,20220624,
001317.SZ,三羊马,SZSE,铁路,20211130,
001318.SZ,阳光乳业,SZSE,乳制品,20220520,
001319.SZ,铭科精技,SZSE,汽车配件,20220512,
001322.SZ,箭牌家居,SZSE,家居用品,20221026,
001323.SZ,慕思股份,SZSE,家居用品,20220623,
001324.SZ,长青科技,SZSE,运输设备,20230522,
001325.SZ,元创股份,SZSE,橡胶,20251218,
001326.SZ,联域股份,SZSE,电气设备,20231109,
001328.SZ,登康口腔,SZSE,日用化工,20230410,
001330.SZ,博纳影业,SZSE,影视音像,20220818,
001331.SZ,胜通能源,SZSE,供气供热,20220908,
001332.SZ,锡装股份,SZSE,专用机械,20220920,
001333.SZ,光华股份,SZSE,化工原料,20221208,
001335.SZ,信凯科技,SZSE,化工原料,20250415,
001336.SZ,楚环科技,SZSE,专用机械,20220725,
001337.SZ,四川黄金,SZSE,黄金,20230303,
001338.SZ,永顺泰,SZSE,啤酒,20221116,
001339.SZ,智微智能,SZSE,IT设备,20220815,
001356.SZ,富岭股份,SZSE,塑料,20250123,
001358.SZ,兴欣新材,SZSE,化工原料,20231221,
001359.SZ,平安电工,SZSE,矿物制品,20240328,
001360.SZ,南矿集团,SZSE,工程机械,20230410,
001366.SZ,播恩集团,SZSE,饲料,20230307,
001367.SZ,海森药业,SZSE,化学制药,20230410,
001368.SZ,通达创智,SZSE,文教休闲,20230313,
001369.SZ,双欣材料,SZSE,化纤,20251230,
001373.SZ,翔腾新材,SZSE,元器件,20230601,
001376.SZ,百通能源,SZSE,供气供热,20231103,
001378.SZ,德冠新材,SZSE,塑料,20231030,
001379.SZ,腾达科技,SZSE,机械基件,20240119,
001380.SZ,华纬科技,SZSE,汽车配件,20230516,
001382.SZ,新亚电缆,SZSE,电气设备,20250321,
001386.SZ,马可波罗,SZSE,家居用品,20251022,
001387.SZ,雪祺电气,SZSE,家用电器,20240111,
001388.SZ,信通电子,SZSE,电气设备,20250701,
001389.SZ,广合科技,SZSE,元器件,20240402,
001390.SZ,古麒绒材,SZSE,纺织,20250529,
001391.SZ,国货航,SZSE,仓储物流,20241230,
001395.SZ,亚联机械,SZSE,专用机械,20250127,
001396.SZ,誉帆科技,SZSE,建筑工程,20251230,
001400.SZ,江顺科技,SZSE,专用机械,20250424,
001696.SZ,宗申动力,SZSE,摩托车,19970306,
001872.SZ,招商港口,SZSE,港口,19930505,
001896.SZ,豫能控股,SZSE,火力发电,19980122,
